,Artist,Title,Mix,BPM,Genre,Label,Year,Number of Artists,Artist_1,Artist_2,Artist_3,Artist_4,Artist_5,Artist_6
14,Akon ft. Snoop Dogg,I Wanna Luv U,Explicit,100,N/A,SRC Street/Universal Records,2007,2,Akon,Snoop Dogg,,,,
15,Akon Ft. Snoop Dogg,I Wanna Love You,N/A,100,Hip-Hop,Konvict,2006,2,Akon,Snoop Dogg,,,,
16,Akon & Snoop Dogg,I Wanna Love You,N/A,100,Top 40,Universal Motown,2007,2,Akon,Snoop Dogg,,,,
17,Alyssa Reid ft. Snoop Dogg,The Game,Bimbo Jones Quick Edit,125,Dance,Ultra,2013,2,Alyssa Reid,Snoop Dogg,,,,
18,Alyssa Reid ft. Snoop Dogg,The Game,Bimbo Jones Intro Edit,125,Dance,Ultra,2013,2,Alyssa Reid,Snoop Dogg,,,,
19,Alyssa Reid ft. Snoop Dogg,The Game,N/A,80,Top 40,Ultra,2012,2,Alyssa Reid,Snoop Dogg,,,,
20,Alyssa Reid ft. Snoop Dogg,The Game,Bimbo Jones Club Mix,125,N/A,3Beat,2012,2,Alyssa Reid,Snoop Dogg,,,,
21,Alyssa Reid ft. Snoop Dogg,The Game,Bimbo Jones Radio Edit,125,Dance,Ultra,2013,2,Alyssa Reid,Snoop Dogg,,,,
22,A.M.X. ft. Snoop Dogg,You Made Me Change My Number,Clean Edit,120,N/A,Mainstream,2011,2,A.M.X.,Snoop Dogg,,,,
23,Anchored ft. Snoop Dogg,Throwin Down,N/A,90,Rock,Trynd,2012,2,Anchored,Snoop Dogg,,,,
24,Angie Stone ft. Snoop Dogg,I Wanna Thank Ya,N/A,99,N/A,J,2004,2,Angie Stone,Snoop Dogg,,,,
25,"Anitta, Ludmilla & Snoop Dogg ft. Papatinho",Onda Diferente,N/A,75,Top 40,N/A,2019,4,Anitta,Ludmilla,Snoop Dogg,Papatinho,,
26,Arash ft. Snoop Dogg,OMG,N/A,114,Top 40,Extensive,2016,2,Arash,Snoop Dogg,,,,
27,Arman Cekin ft. Snoop Dogg & Paul Rey,California Dreaming,N/A,100,Top 40,Trap Nation,2017,3,Arman Cekin,Snoop Dogg,Paul Rey,,,
28,Audio Playground ft. Snoop Dogg,Emergency,N/A,118,Dance,Canwest,2012,2,Audio Playground,Snoop Dogg,,,,
29,Barrington Levy ft. Snoop Dogg & Mims,Watch Dem (Murderer),N/A,93,N/A,Platinum Camp,2010,3,Barrington Levy,Snoop Dogg,Mims,,,
30,Beanie Sigel ft. Snoop Dogg,Don't Stop,N/A,99,N/A,Criminal Background Damon Dash Music,2005,2,Beanie Sigel,Snoop Dogg,,,,
31,Big Time Rush ft. Snoop Dogg,Boyfriend,Snoop Dogg Version,83,N/A,Columbia,2011,2,Big Time Rush,Snoop Dogg,,,,
32,Big Time Rush ft. Snoop Dogg,Boyfriend,N/A,83,Top 40,Columbia,2011,2,Big Time Rush,Snoop Dogg,,,,
33,Blush ft. Snoop Dogg,Undivided,N/A,84,Top 40,FarWest,2011,2,Blush,Snoop Dogg,,,,
34,Blush ft. Snoop Dogg,Undivided,Pop Version,85,Top 40,FarWest,2011,2,Blush,Snoop Dogg,,,,
35,Blush ft. Snoop Dogg,Undivided,Dave Aude Remix,124,Top 40,FarWest,2011,2,Blush,Snoop Dogg,,,,
36,Blush ft. Snoop Dogg,Undivided,Eddie Amador Remix,124,N/A,FarWest,2011,2,Blush,Snoop Dogg,,,,
37,Candyman 187 ft. Snoop Dogg,High Off The Fame,Cutmore Killa Club Remix,130,N/A,We Got The Juice,2011,2,Candyman 187,Snoop Dogg,,,,
38,Candyman 187 ft. Snoop Dogg & Ariano,High Off The Fame,Cutmore Killa Video Edit By Danny Morris,130,N/A,We Got The Juice,2011,3,Candyman 187,Snoop Dogg,Ariano,,,
39,Candyman 187 ft. Snoop Dogg & Ariano,High Off The Fame,N/A,120,Urban,We Got The Juice,2011,3,Candyman 187,Snoop Dogg,Ariano,,,
40,Charlie Wilson Feat. Snoop Dogg,Big Pimpin',N/A,68,Hip-Hop,Interscope Records,2000,2,Charlie Wilson,Snoop Dogg,,,,
41,Charlotte Devaney ft. Snoop Dogg,Flip It (The Edit),N/A,128,Dance,Motto Beats/Virgin,2015,2,Charlotte Devaney,Snoop Dogg,,,,
42,Chingy ft. Ludacris & Snoop Dogg,Holidae In,N/A,78,Urban,DTP/Capitol,2007,3,Chingy,Ludacris,Snoop Dogg,,,
43,C-Murder Feat. Snoop Dogg & Magic,Down For My N's,N/A,91,Hip-Hop,Priority Records,2000,3,C-Murder,Snoop Dogg,Magic,,,
44,Collie Buddz ft. Snoop Dogg,Light It Up,Clean Edit - KE Remix,70,Hip-Hop,Louder Than Life/RED/Sony,2014,2,Collie Buddz,Snoop Dogg,,,,
45,Collie Buddz ft. Snoop Dogg,Light It Up,KE Remix,70,Hip-Hop,Louder Than Life/RED/Sony,2014,2,Collie Buddz,Snoop Dogg,,,,
46,"Colonel Loud ft. Too Short, Snoop Dogg & Ricco Barrino",California,California Remix - Explicit,98,Hip-Hop,Derty North/Empire,2016,4,Colonel Loud,Too Short,Snoop Dogg,Ricco Barrino,,
47,"Colonel Loud ft. Too Short, Snoop Dogg & Ricco Barrino",California,- California Remix,98,Hip-Hop,Derty North/Empire,2016,4,Colonel Loud,Too Short,Snoop Dogg,Ricco Barrino,,
48,"Colonel Loud ft. Too Short, Snoop Dogg & Ricco Barrino",California,Quick Edit - California Remix,98,Hip-Hop,Derty North/Empire,2016,4,Colonel Loud,Too Short,Snoop Dogg,Ricco Barrino,,
49,"Colonel Loud ft. Too Short, Snoop Dogg & Ricco Barrino",California,Instrumental,98,Hip-Hop,Derty North/Empire,2016,4,Colonel Loud,Too Short,Snoop Dogg,Ricco Barrino,,
50,"Colonel Loud ft. Too Short, Snoop Dogg & Ricco Barrino",California,- California Remix,98,Hip-Hop,Derty North/Empire,2016,4,Colonel Loud,Too Short,Snoop Dogg,Ricco Barrino,,
51,Daddy Yankee ft. Snoop Dogg,Gangsta Zone,N/A,92,N/A,El Cartel/Interscope,2007,2,Daddy Yankee,Snoop Dogg,,,,
52,Datsik ft. Snoop Dogg,Smoke Bomb,Clean,100,Dance,Ultra,2015,2,Datsik,Snoop Dogg,,,,
53,"David Banner, Akon, Lil Wayne, Snoop Dogg",9mm (speaker),Dirty,83,Hip-Hop,N/A,2007,4,David Banner,Akon,Lil Wayne,Snoop Dogg,,
54,"David Banner, Akon, Lil Wayne, Snoop Dogg",Speaker (9mm),Clean,83,Hip-Hop,N/A,2007,4,David Banner,Akon,Lil Wayne,Snoop Dogg,,
55,"David Banner ft. Akon, Lil Wayne & Snoop Dogg",Speaker,N/A,83,N/A,SRC/Universal Motown Records,2007,4,David Banner,Akon,Lil Wayne,Snoop Dogg,,
56,Devin The Dude ft. Snoop Dogg & Andre 3000,What A Job,Instrumental,87,N/A,Rap-A-Lot Records,2007,3,Devin The Dude,Snoop Dogg,Andre 3000,,,
57,Devin The Dude ft. Snoop Dogg & Andre 3000,What A Job,Acapella,87,N/A,Rap-A-Lot Records,2007,3,Devin The Dude,Snoop Dogg,Andre 3000,,,
58,Devin The Dude ft. Snoop Dogg & Andre 3000,What A Job,N/A,87,N/A,Rap-A-Lot Records,2007,3,Devin The Dude,Snoop Dogg,Andre 3000,,,
59,"DJ Drama ft. Akon, Snoop Dogg & T.I.",Day Dreaming,(Explicit),108,N/A,AMG/Grand Hustle/Atlantic,2009,4,DJ Drama,Akon,Snoop Dogg,T.I.,,
60,"DJ Drama ft. Akon, Snoop Dogg & T.I.",Day Dreaming,Clean Edit,108,N/A,AMG/Grand Hustle/Atlantic,2009,4,DJ Drama,Akon,Snoop Dogg,T.I.,,
61,"DJ Drama ft. Akon, Snoop Dogg & T.I.",Day Dreaming,N/A,108,Urban,AMG/Grand Hustle/Atlantic,2009,4,DJ Drama,Akon,Snoop Dogg,T.I.,,
62,"DJ Khaled ft. T-Pain, Ludacris, Rick Ross & Snoop Dogg",All I Do Is Win,Clean Edit,75,Urban,E1,2010,5,DJ Khaled,T-Pain,Ludacris,Rick Ross,Snoop Dogg,
63,"DJ Khaled ft. T-Pain, Ludacris, Rick Ross, Snoop Dogg",All I Do Is Win,N/A,75,N/A,E1,2010,5,DJ Khaled,T-Pain,Ludacris,Rick Ross,Snoop Dogg,
64,"DJ Khaled ft. T-Pain, Ludacris, Rick Ross, Snoop Dogg",All I Do Is Win,Intro Edit,75,N/A,E1,2017,5,DJ Khaled,T-Pain,Ludacris,Rick Ross,Snoop Dogg,
65,"DJ Khaled ft. T-Pain, Ludacris, Rick Ross, Snoop Dogg",All I Do Is Win,Instrumental,75,N/A,E1,2010,5,DJ Khaled,T-Pain,Ludacris,Rick Ross,Snoop Dogg,
66,"DJ Khaled ft. T-Pain, Ludacris, Rick Ross, Snoop Dogg",All I Do Is Win,Quick Edit,75,N/A,E1,2017,5,DJ Khaled,T-Pain,Ludacris,Rick Ross,Snoop Dogg,
67,"DJ Polique ft. Snoop Dogg, Follow Your Instinct &#38; Jacob Luttrell",Dimes Only,N/A,104,Dance,Kickson,2017,3,DJ Polique,Snoop Dogg,Follow Your Instinct &#38; Jacob Luttrell,,,
68,Doll Phace ft. Snoop Dogg,Let's Go To Vegas,N/A,132,Urban,True Vision Media,2011,2,Doll Phace,Snoop Dogg,,,,
69,"DPGC,  Daz,  Kurupt ft. Snoop Dogg & Nate Dogg",Real Soon,N/A,99,N/A,KOCH Records,2006,5,DPGC,Daz,Kurupt,Snoop Dogg,Nate Dogg,
70,"DPGC ft. Daz, Kurupt ft. Snoop Dogg & Nate Dogg",Real Soon,N/A,99,Urban,Koch,2006,5,DPGC,Daz,Kurupt,Snoop Dogg,Nate Dogg,
71,Dr. Dre Feat. Snoop Dogg,Still D.r.e.,N/A,93,Hip-Hop,Aftermath/interscope Records,1999,2,Dr. Dre,Snoop Dogg,,,,
72,Dr. Dre Feat. Snoop Dogg,The Next Episode,N/A,94,Hip-Hop,Aftermath/interscope Records,2000,2,Dr. Dre,Snoop Dogg,,,,
73,Dr. Dre Feat. Snoop Dogg,The Wash,N/A,94,Hip-Hop,Aftermath/doggystyle/interscope Records,2001,2,Dr. Dre,Snoop Dogg,,,,
74,Dr. Dre ft. Snoop Dogg,Nuthin But A G Thang,N/A,95,N/A,Atlantic,2012,2,Dr. Dre,Snoop Dogg,,,,
75,Dr. Dre ft. Snoop Dogg,Nuthin' But A G Thang,Quick Edit (Dr. Dre Only)*,95,N/A,Death Row/Interscope,2012,2,Dr. Dre,Snoop Dogg,,,,
76,Dr. Dre ft. Snoop Dogg,Nuthin' But A G Thang,N/A,95,N/A,Death Row/Interscope,2012,2,Dr. Dre,Snoop Dogg,,,,
77,Dr. Dre ft. Snoop Dogg,Nuthin' But A G Thang,Quick Edit (Snoop Dogg Only)*,95,N/A,Death Row/Interscope,2012,2,Dr. Dre,Snoop Dogg,,,,
78,Dr. Dre ft. Snoop Dogg & Akon,Kush,(Explicit),95,N/A,Interscope,2011,3,Dr. Dre,Snoop Dogg,Akon,,,
79,Dr. Dre ft. Snoop Dogg & Akon,Kush,Clean Version,95,Urban,Interscope,2011,3,Dr. Dre,Snoop Dogg,Akon,,,
80,Dr. Dre ft. Snoop Dogg & Akon,Kush,N/A,95,N/A,Interscope,2011,3,Dr. Dre,Snoop Dogg,Akon,,,
81,Dr. Dre ft. Snoop Dogg & Akon,Kush,Clean Edit,95,N/A,Interscope,2010,3,Dr. Dre,Snoop Dogg,Akon,,,
82,Dr. Dre ft. Snoop Dogg & Akon,Kush,Instrumental,95,N/A,Interscope,2011,3,Dr. Dre,Snoop Dogg,Akon,,,
83,Dr. Dre introducing Snoop Dogg,Deep Cover,N/A,96,Urban,Solar Epic Sony,2004,2,Dr. Dre,Snoop Dogg,,,,
84,Emii ft. Snoop Dogg,Mr. Romeo,Clean Edit,124,Top 40,Slippery Eel,2011,2,Emii,Snoop Dogg,,,,
85,Emii ft. Snoop Dogg,Mr. Romeo,N/A,124,N/A,Slippery Eel,2011,2,Emii,Snoop Dogg,,,,
86,Faith Evans ft. Snoop Dogg,Way You Move,N/A,94,Urban,Prolific/E1,2010,2,Faith Evans,Snoop Dogg,,,,
87,Faith Evans ft. The Notorious B.I.G. & Snoop Dogg,When We Party,Lyric Video,104,Urban,Rhino/BMG/WMG,2017,3,Faith Evans,The Notorious B.I.G.,Snoop Dogg,,,
88,Faith Evans ft. The Notorious B.I.G. & Snoop Dogg,When We Party,Lyric Video - Explicit,104,Urban,Rhino/BMG/WMG,2017,3,Faith Evans,The Notorious B.I.G.,Snoop Dogg,,,
89,Faith Evans ft. The Notorious B.I.G. & Snoop Dogg,When We Party,Intro Edit,104,R&B,Rhino/BMG/WMG,2017,3,Faith Evans,The Notorious B.I.G.,Snoop Dogg,,,
90,Faith Evans ft. The Notorious B.I.G. & Snoop Dogg,When We Party,Clean,104,R&B,Rhino/BMG/WMG,2017,3,Faith Evans,The Notorious B.I.G.,Snoop Dogg,,,
91,Faith Evans ft. The Notorious B.I.G. & Snoop Dogg,When We Party,Lyric Video Intro Edit,104,Urban,Rhino/BMG/WMG,2017,3,Faith Evans,The Notorious B.I.G.,Snoop Dogg,,,
92,Faith Evans ft. The Notorious B.I.G. & Snoop Dogg,When We Party,Lyric Video Quick Edit,104,Urban,Rhino/BMG/WMG,2017,3,Faith Evans,The Notorious B.I.G.,Snoop Dogg,,,
93,Faith Evans ft. The Notorious B.I.G. & Snoop Dogg,When We Party,Quick Edit,104,R&B,Rhino/BMG/WMG,2017,3,Faith Evans,The Notorious B.I.G.,Snoop Dogg,,,
94,Far East Movement ft. Snoop Dogg,If I Was You (OMG),Clean Edit,127,Top 40,Cherrytree/Interscope,2011,2,Far East Movement,Snoop Dogg,,,,
95,Far East Movement ft. Snoop Dogg,If I Was You (OMG),N/A,127,Top 40,Cherrytree/Interscope,2012,2,Far East Movement,Snoop Dogg,,,,
96,Far East Movement ft. Snoop Dogg,If I Was You (OMG),Quick Edit*,127,Top 40,Cherrytree/Interscope,2012,2,Far East Movement,Snoop Dogg,,,,
97,"Fat Joe & Remy Ma ft. Snoop Dogg, The Game & E-40",All The Way Up,Promo Only Westside Quick Edit,88,Hip-Hop,EMPIRE,2016,5,Fat Joe,Remy Ma,Snoop Dogg,The Game,E-40,
98,"Fat Joe & Remy Ma ft. Snoop Dogg, The Game & E-40",All The Way Up,Westside Remix,88,Hip-Hop,EMPIRE,2016,5,Fat Joe,Remy Ma,Snoop Dogg,The Game,E-40,
99,"Fat Joe & Remy Ma ft. Snoop Dogg, The Game & E-40",All The Way Up,Westside Remix - Explicit,88,Hip-Hop,EMPIRE,2016,5,Fat Joe,Remy Ma,Snoop Dogg,The Game,E-40,
100,"Fat Joe & Remy Ma ft. Snoop Dogg, The Game & E-40",All The Way Up,Westside Remix - Explicit,88,Hip-Hop,EMPIRE,2016,5,Fat Joe,Remy Ma,Snoop Dogg,The Game,E-40,
101,Fetty Wap ft. Snoop Dogg,Westside,Clean,96,Hip-Hop,300,2016,2,Fetty Wap,Snoop Dogg,,,,
102,Fetty Wap ft. Snoop Dogg,Westside,N/A,96,Hip-Hop,300,2016,2,Fetty Wap,Snoop Dogg,,,,
103,Fetty Wap ft. Snoop Dogg,Westside,Quick Edit,96,Hip-Hop,300,2016,2,Fetty Wap,Snoop Dogg,,,,
104,Fetty Wap ft. Snoop Dogg,Westside,Explicit,96,Hip-Hop,300,2016,2,Fetty Wap,Snoop Dogg,,,,
105,Freeway f/ Snoop Doggy Dogg,We Get Around,N/A,96,N/A,N/A,N/A,2,Freeway,Snoop Doggy Dogg,,,,
106,Future ft. Snoop Dogg,Homicide,Live,75,Urban,Epic,2013,2,Future,Snoop Dogg,,,,
107,George Hodos ft. Snoop Dogg,Just A Man,Rod Carrillo Club Mix,129,N/A,Dauman/Universal,2010,2,George Hodos,Snoop Dogg,,,,
108,"Grandmaster Flash ft. Red Cafe, Snoop Dogg, & Lynn Carter",Swagger,N/A,96,N/A,Strut,2009,4,Grandmaster Flash,Red Cafe,Snoop Dogg,& Lynn Carter,,
109,Gucci Mane Feat. Snoop Dogg,Awesome,Radio Version_,69,Hip-Hop,N/A,2009,2,Gucci Mane,Snoop Dogg,,,,
110,Hardwell ft. Conor Maynard & Snoop Dogg,How You Love Me,N/A,66,Top 40,N/A,2019,3,Hardwell,Conor Maynard,Snoop Dogg,,,
111,Hardwell ft. Conor Maynard & Snoop Dogg,How You Love Me,Extended Mix,105,N/A,Extended Mix,2019,3,Hardwell,Conor Maynard,Snoop Dogg,,,
112,Ian Carey ft. Snoop Dogg & Bobby Anthony,Last Night,Clean Edit,128,Dance,Next Plateau,2011,3,Ian Carey,Snoop Dogg,Bobby Anthony,,,
113,Ian Carey ft. Snoop Dogg & Bobby Anthony,Last Night,N/A,128,Dance,GFAB,2011,3,Ian Carey,Snoop Dogg,Bobby Anthony,,,
114,Ice Cube Ft. Lil' Jon & Snoop Dogg,Go To Church,N/A,84,Hip-Hop,N/A,2006,3,Ice Cube,Lil' Jon,Snoop Dogg,,,
115,Ice Cube ft. Snoop Dogg,Go To Church,PO Clean Edit,84,N/A,Lench Mob Records,2006,2,Ice Cube,Snoop Dogg,,,,
116,Jason Derulo ft. Snoop Dogg,Wiggle,Explicit,82,Pop,Beluga Heights/Warner Bros,2014,2,Jason Derulo,Snoop Dogg,,,,
117,Jason Derulo ft. Snoop Dogg,Wiggle,Lyric Video*,82,Urban,Beluga Heights/Warner Bros,2014,2,Jason Derulo,Snoop Dogg,,,,
118,Jason Derulo ft. Snoop Dogg,Wiggle,EXPLICIT VERSION,82,Urban,Beluga Heights/Warner Bros,2014,2,Jason Derulo,Snoop Dogg,,,,
119,Jason Derulo ft. Snoop Dogg,Wiggle,Quick Edit*,82,Urban,Beluga Heights/Warner Bros,2014,2,Jason Derulo,Snoop Dogg,,,,
120,Jason Derulo ft. Snoop Dogg,Wiggle,N/A,82,Urban,Beluga Heights/Warner Bros,2014,2,Jason Derulo,Snoop Dogg,,,,
121,Jason Derulo ft. Snoop Dogg,Wiggle,Quick Edit,82,Pop,Beluga Heights/Warner Bros,2014,2,Jason Derulo,Snoop Dogg,,,,
122,"Jermaine Dupri ft. P. Diddy, Snoop Dogg & Murphy Lee",Welcome To Atlanta,N/A,96,Urban,Columbia,2008,4,Jermaine Dupri,P. Diddy,Snoop Dogg,Murphy Lee,,
123,John Legend ft. Snoop Dogg,I Can Change,N/A,80,N/A,Getting Out Our Dreams Sony Urban Columbia,2005,2,John Legend,Snoop Dogg,,,,
124,Justin Anthony ft. Snoop Dogg,Good Luv,N/A,94,Urban,Elevate,2013,2,Justin Anthony,Snoop Dogg,,,,
125,Justin Anthony ft. Snoop Dogg,Good Luv,N/A,94,Urban,Elevate,2013,2,Justin Anthony,Snoop Dogg,,,,
126,Katy Perry ft. Snoop Dogg,California Gurls,Manhattan Clique Edit,128,Dance,Capitol,2010,2,Katy Perry,Snoop Dogg,,,,
127,Katy Perry ft. Snoop Dogg,California Gurls,Clean Edit Rap Edit,125,N/A,Capitol,2010,2,Katy Perry,Snoop Dogg,,,,
128,Katy Perry ft. Snoop Dogg,California Gurls,Promo Only Intro Edit*,125,Pop,Capitol,2016,2,Katy Perry,Snoop Dogg,,,,
129,Katy Perry ft. Snoop Dogg,California Gurls,N/A,125,N/A,Capitol,2014,2,Katy Perry,Snoop Dogg,,,,
130,Katy Perry ft. Snoop Dogg,California Gurls,Quick Edit*,125,N/A,Capitol,2014,2,Katy Perry,Snoop Dogg,,,,
131,Katy Perry ft. Snoop Dogg & Cali Swag District,California Gurls,Remix,125,Top 40,Capitol,2010,3,Katy Perry,Snoop Dogg,Cali Swag District,,,
132,"Katy Perry, Snoop Dogg",California Gurls,Radio,125,Pop,N/A,2010,2,Katy Perry,Snoop Dogg,,,,
133,Kelly Rowland ft. Snoop Dogg,Ghetto,N/A,96,Urban,Columbia,2007,2,Kelly Rowland,Snoop Dogg,,,,
134,Kid Capri Feat. Snoop Doggy Dogg & Slick Rick,Unify,N/A,95,Hip-Hop,Columbia Records,1998,3,Kid Capri,Snoop Doggy Dogg,Slick Rick,,,
135,Kid Capri Feat. Snoop Doggy Dogg & Slick Rick,We're Unified,Clean Version,101,Hip-Hop,Trackmasters/columbia Records,1998,3,Kid Capri,Snoop Doggy Dogg,Slick Rick,,,
136,Lalah Hathaway ft. Snoop Dogg,Ghetto Boy,N/A,94,R&B,eOne,2016,2,Lalah Hathaway,Snoop Dogg,,,,
137,Lee M With J Pearl ft. Iyaz & Snoop Dogg,Slow Motion,Clean Edit,128,Dance,Strictly Rhythm,2012,4,Lee M,J Pearl,Iyaz,Snoop Dogg,,
138,Lee M With J Pearl ft. Iyaz & Snoop Dogg,Slow Motion,N/A,128,N/A,Strictly Rhythm,2012,4,Lee M,J Pearl,Iyaz,Snoop Dogg,,
139,Lee M With J Pearl ft. Iyaz & Snoop Dogg,Slow Motion,Jupiter Ace Remix Club,128,N/A,Strictly Rhythm,2012,4,Lee M,J Pearl,Iyaz,Snoop Dogg,,
140,Lil Dicky ft. Snoop Dogg,Professional Rapper,EXPLICIT,65,Urban,CMSN/David Burd,2015,2,Lil Dicky,Snoop Dogg,,,,
141,Lil Duval ft. Snoop Dogg & Ball Greezy,Smile (Living My Best Life),PopRoXxX Intro Edit,99,Urban,PopRoXxX Intro Edit,2018,3,Lil Duval,Snoop Dogg,Ball Greezy,,,
142,Lil Duval ft. Snoop Dogg & Ball Greezy,Smile (Living My Best Life),PopRoXxX Quick Edit,99,Urban,PopRoXxX Quick Edit,2018,3,Lil Duval,Snoop Dogg,Ball Greezy,,,
143,Lil Duval ft. Snoop Dogg & Ball Greezy,Smile (Living My Best Life),Explicit,99,Urban,Explicit,2018,3,Lil Duval,Snoop Dogg,Ball Greezy,,,
144,Lil Duval ft. Snoop Dogg & Ball Greezy,Smile (Living My Best Life),PO Clean Edit,99,Hip-Hop,PO Clean Edit,2018,3,Lil Duval,Snoop Dogg,Ball Greezy,,,
145,Lil Duval ft. Snoop Dogg & Ball Greezy,Smile (Living My Best Life),N/A,99,Urban,N/A,2018,3,Lil Duval,Snoop Dogg,Ball Greezy,,,
146,Lil Jon ft. Snoop Dogg & Swizz Beatz,I Do,N/A,87,N/A,Universal Republic,2009,3,Lil Jon,Snoop Dogg,Swizz Beatz,,,
147,Lil Jon ft. Snoop Dogg & Swizz Beatz,I Do,Clean Edit Clean,87,N/A,Universal Republic,2009,3,Lil Jon,Snoop Dogg,Swizz Beatz,,,
148,Lil Jon ft. Snoop Dogg & Swizz Beatz,I Do,Instrumental,87,N/A,Universal Republic,2009,3,Lil Jon,Snoop Dogg,Swizz Beatz,,,
149,"Lil Jon ft. T-Pain, Problem & Snoop Dogg",My Cutie Pie,Quick Edit,103,Hip-Hop,Lil Jonathan,2015,4,Lil Jon,T-Pain,Problem,Snoop Dogg,,
150,"Lil Jon ft. T-Pain, Problem & Snoop Dogg",My Cutie Pie,Instrumental,103,Hip-Hop,Lil Jonathan,2015,4,Lil Jon,T-Pain,Problem,Snoop Dogg,,
151,"Lil Jon ft. T-Pain, Problem & Snoop Dogg",My Cutie Pie,Explicit,103,Hip-Hop,Lil Jonathan,2015,4,Lil Jon,T-Pain,Problem,Snoop Dogg,,
152,"Lil Jon ft. T-Pain, Problem & Snoop Dogg",My Cutie Pie,N/A,103,Hip-Hop,Lil Jonathan,2015,4,Lil Jon,T-Pain,Problem,Snoop Dogg,,
153,"Lil Jon ft. T-Pain, Problem & Snoop Dogg",My Cutie Pie,Quick Edit,103,Hip-Hop,Lil Jonathan,2015,4,Lil Jon,T-Pain,Problem,Snoop Dogg,,
154,Mack 10 Feat. Ice Cube & Snoop Doggy Dogg,Only In California,N/A,95,Hip-Hop,Priority Records,1998,3,Mack 10,Ice Cube,Snoop Doggy Dogg,,,
155,Mams Taylor ft. Snoop Dogg & Bobby V,Girl Gotta Girlfriend,N/A,100,Urban,Premiere League,2009,3,Mams Taylor,Snoop Dogg,Bobby V,,,
156,Mann ft. Iyaz & Snoop Dogg,The Mack,N/A,99,N/A,Mercury/Island Def Jam,2011,3,Mann,Iyaz,Snoop Dogg,,,
157,Mann ft. Snoop Dogg,The Mack,N/A,99,Urban,Mercury/Island Def Jam,2011,2,Mann,Snoop Dogg,,,,
158,Mann ft. Snoop Dogg & Iyaz,The Mack,Quick Edit*,99,Urban,Mercury/Island Def Jam,2012,3,Mann,Snoop Dogg,Iyaz,,,
159,Mann ft. Snoop Dogg & Iyaz,The Mack,N/A,99,N/A,Mercury/Island Def Jam,2012,3,Mann,Snoop Dogg,Iyaz,,,
160,Mariah Carey Feat. Snoop Dogg,Crybaby,N/A,79,Hip-Hop,Columbia Records,2000,2,Mariah Carey,Snoop Dogg,,,,
161,Mariah Carey ft. Snoop Dogg,Say Somethin',Morales Radio Edit,128,Top 40,Island Def Jam,2006,2,Mariah Carey,Snoop Dogg,,,,
